val_sudden_down,val_sudden_upp,val_up_down,epoch,step,train_sudden_down,train_sudden_upp,train_up_down
0.5714206099510193,0.5714206099510193,0.5714173316955566,0,14429,,,
,,,1,14429,0.5744646787643433,0.5742621421813965,0.5742379426956177
0.5713760256767273,0.5714353919029236,0.5714518427848816,1,28859,,,
,,,2,28859,0.5731050968170166,0.5729418992996216,0.5732244849205017
0.5714057087898254,0.5714353919029236,0.5714433789253235,2,43289,,,
,,,3,43289,0.5723235607147217,0.5721597075462341,0.5721611976623535
0.5713909268379211,0.5714502930641174,0.5714433193206787,3,57719,,,
,,,4,57719,0.5718123912811279,0.5718621611595154,0.5718448758125305
0.5714057087898254,0.5714502930641174,0.5714439749717712,4,72149,,,
,,,5,72149,0.5717185735702515,0.5716692805290222,0.5716913342475891
0.5714206099510193,0.5714206099510193,0.5714316368103027,5,86579,,,
,,,6,86579,0.5716046094894409,0.5716292858123779,0.5715944766998291
0.5714206099510193,0.5714206099510193,0.5714394450187683,6,101009,,,
,,,7,101009,0.5716245174407959,0.571609616279602,0.5715736150741577
0.5714206099510193,0.5714353919029236,0.5714394450187683,7,115439,,,
,,,8,115439,0.5716097354888916,0.5715501308441162,0.5715750455856323
0.5714206099510193,0.5714206099510193,0.5714342594146729,8,129869,,,
,,,9,129869,0.5715650916099548,0.5715402960777283,0.5715464949607849
0.5714206099510193,0.5714206099510193,0.5714290738105774,9,144299,,,
,,,10,144299,0.5715152621269226,0.5715997219085693,0.5715471506118774
0.5714206099510193,0.5714206099510193,0.5714277625083923,10,158729,,,
,,,11,158729,0.5714707374572754,0.571510374546051,0.5715279579162598
0.5714206099510193,0.5714057087898254,0.5714263916015625,11,173159,,,
,,,12,173159,0.5715550780296326,0.5715847611427307,0.5715520977973938
0.5714353919029236,0.5714206099510193,0.5714290738105774,12,187589,,,
,,,13,187589,0.5715453028678894,0.5715652108192444,0.5715404748916626
0.5714206099510193,0.5714057087898254,0.57142573595047,13,202019,,,
,,,14,202019,0.5715998411178589,0.5715303421020508,0.5715456604957581
0.5714206099510193,0.5714057087898254,0.5714244246482849,14,216449,,,
,,,15,216449,0.5714709162712097,0.5715746879577637,0.5715517401695251
0.5714353919029236,0.5714057087898254,0.5714335441589355,15,230879,,,
,,,16,230879,0.5715402364730835,0.5715452432632446,0.5715607404708862
0.5714353919029236,0.5714057087898254,0.5714289546012878,16,245309,,,
,,,17,245309,0.5715949535369873,0.5715304017066956,0.57156902551651
0.5714206099510193,0.5714057087898254,0.5714289546012878,17,259739,,,
,,,18,259739,0.5715400576591492,0.5715007185935974,0.5715620517730713
0.5714353919029236,0.5714353919029236,0.571431577205658,18,274169,,,
,,,19,274169,0.5715746879577637,0.5715996623039246,0.5715522170066833
0.5714206099510193,0.5714057087898254,0.57142573595047,19,288599,,,
,,,20,288599,0.5715650320053101,0.5715553760528564,0.5715572834014893
0.5714353919029236,0.5714206099510193,0.5714283585548401,20,303029,,,
,,,21,303029,0.571574866771698,0.5715846419334412,0.5715441107749939
0.5714353919029236,0.5714206099510193,0.5714290738105774,21,317459,,,
,,,22,317459,0.5715253353118896,0.5715105533599854,0.5715601444244385
0.5714353919029236,0.5714057087898254,0.5714302659034729,22,331889,,,
,,,23,331889,0.571574866771698,0.5715153813362122,0.5715493559837341
0.5714206099510193,0.5714206099510193,0.5714289546012878,23,346319,,,
,,,24,346319,0.5715352296829224,0.5715947151184082,0.5715683698654175
0.5714502930641174,0.5714502930641174,0.5714439153671265,24,360749,,,
,,,25,360749,0.5715948343276978,0.5715349912643433,0.5715739130973816
0.5714502930641174,0.5714502930641174,0.571444571018219,25,375179,,,
,,,26,375179,0.5715798139572144,0.5715997219085693,0.5715715289115906
0.5714353919029236,0.5714353919029236,0.5714341998100281,26,389609,,,
,,,27,389609,0.5715747475624084,0.5716442465782166,0.5715692639350891
0.5714353919029236,0.5714353919029236,0.5714367628097534,27,404039,,,
,,,28,404039,0.5715848207473755,0.5715548992156982,0.5715685486793518
0.5714353919029236,0.5714353919029236,0.5714432597160339,28,418469,,,
,,,29,418469,0.5716046094894409,0.571594774723053,0.5715683698654175
0.5714353919029236,0.5714353919029236,0.5714401006698608,29,432899,,,
,,,30,432899,0.5715450048446655,0.5715895891189575,0.5715737342834473
