val_sudden_down,val_sudden_upp,val_up_down,epoch,step,train_sudden_down,train_sudden_upp,train_up_down
0.5742722153663635,0.5737224221229553,0.573792040348053,0,14429,,,
,,,0,14429,0.5737202167510986,0.5737747550010681,0.5738409757614136
0.5738711953163147,0.5733363032341003,0.5733317136764526,1,28859,,,
,,,1,28859,0.5732935070991516,0.5731897950172424,0.5732260346412659
0.5732621550559998,0.5728760361671448,0.5729341506958008,2,43289,,,
,,,2,43289,0.5728235244750977,0.5729131102561951,0.5729743838310242
0.5735887289047241,0.5731135010719299,0.5732134580612183,3,57719,,,
,,,3,57719,0.5727689862251282,0.5727939009666443,0.5726886987686157
0.5725937485694885,0.572311520576477,0.572334349155426,4,72149,,,
,,,4,72149,0.5725268721580505,0.5724621415138245,0.5725602507591248
0.5723116397857666,0.5720590949058533,0.5721943378448486,5,86579,,,
,,,5,86579,0.5725658535957336,0.5725967884063721,0.5725406408309937
0.572475016117096,0.5723709464073181,0.5725799798965454,6,101009,,,
,,,6,101009,0.5724324584007263,0.5722936987876892,0.5724023580551147
0.5727422833442688,0.5724303126335144,0.5726222991943359,7,115439,,,
,,,7,115439,0.5724672675132751,0.5724268555641174,0.5724216103553772
0.5724157094955444,0.5722374320030212,0.5721873044967651,8,129869,,,
,,,8,129869,0.5724713206291199,0.572387158870697,0.572428822517395
0.5725492835044861,0.5722076296806335,0.5724017024040222,9,144299,,,
,,,9,144299,0.5723229646682739,0.5724327564239502,0.572455108165741
0.5724453330039978,0.5721482038497925,0.572364330291748,10,158729,,,
,,,10,158729,0.5724670886993408,0.5722890496253967,0.5724389553070068
0.5722373127937317,0.5719700455665588,0.5721625089645386,11,173159,,,
,,,11,173159,0.5724421143531799,0.5723426938056946,0.5723796486854553
0.5729948878288269,0.5725641250610352,0.5727970004081726,12,187589,,,
,,,12,187589,0.5722039341926575,0.5724912285804749,0.5723221898078918
0.5724303722381592,0.5721778869628906,0.5723968744277954,13,202019,,,
,,,13,202019,0.5722784996032715,0.5724422931671143,0.5723651647567749
0.5726680159568787,0.5724453330039978,0.5727179646492004,14,216449,,,
,,,14,216449,0.5724021792411804,0.5723533034324646,0.572394073009491
0.5723116397857666,0.5722374320030212,0.5722678899765015,15,230879,,,
,,,15,230879,0.572521448135376,0.5723978877067566,0.5723994970321655
0.5724897980690002,0.5724453330039978,0.5725921988487244,16,245309,,,
,,,16,245309,0.5725265145301819,0.5723874568939209,0.5724030137062073
0.5721482038497925,0.5721184611320496,0.5722114443778992,17,259739,,,
,,,17,259739,0.5725014805793762,0.5722787380218506,0.572328507900238
0.5722671151161194,0.57210373878479,0.5722846984863281,18,274169,,,
,,,18,274169,0.5723183155059814,0.5723838806152344,0.5723514556884766
0.5723413228988647,0.572192907333374,0.5723999738693237,19,288599,,,
,,,19,288599,0.572417140007019,0.57237309217453,0.5722817778587341
0.5721185803413391,0.5720145106315613,0.5720878839492798,20,303029,,,
,,,20,303029,0.5723080635070801,0.5721991062164307,0.5723368525505066
0.572148323059082,0.5720590949058533,0.5721544027328491,21,317459,,,
,,,21,317459,0.5723626613616943,0.5724421143531799,0.5722940564155579
0.5720442533493042,0.5718808770179749,0.571903645992279,22,331889,,,
,,,22,331889,0.572372555732727,0.5722731947898865,0.5723338723182678
0.5725194215774536,0.5721334218978882,0.5723506212234497,23,346319,,,
,,,23,346319,0.5723478198051453,0.5723230242729187,0.5722734928131104
0.5721631646156311,0.5721631050109863,0.5722463130950928,24,360749,,,
,,,24,360749,0.572308361530304,0.5723474621772766,0.5723514556884766
0.571955144405365,0.5719848871231079,0.5720301866531372,25,375179,,,
,,,25,375179,0.572323203086853,0.5722737908363342,0.5723591446876526
0.5724601745605469,0.5723116397857666,0.5724199414253235,26,389609,,,
,,,26,389609,0.5722881555557251,0.5724324584007263,0.572369396686554
0.5722374320030212,0.5719700455665588,0.5721051692962646,27,404039,,,
,,,27,404039,0.5723574161529541,0.5723332166671753,0.5723228454589844
0.5719403028488159,0.5717621445655823,0.5719122886657715,28,418469,,,
,,,28,418469,0.5723782777786255,0.5724172592163086,0.5723381638526917
0.5724600553512573,0.5724007487297058,0.5724742412567139,29,432899,,,
,,,29,432899,0.5722585320472717,0.5724318623542786,0.572335422039032
0.5721037983894348,0.57210373878479,0.5722030401229858,30,447329,,,
,,,30,447329,0.5723875761032104,0.5722833871841431,0.5723731517791748
0.5721185803413391,0.5720294713973999,0.5721598267555237,31,461759,,,
,,,31,461759,0.572372555732727,0.572303295135498,0.5724197626113892
0.5724453330039978,0.5721927881240845,0.5723159909248352,32,476189,,,
,,,32,476189,0.5724419951438904,0.5723676681518555,0.5723526477813721
0.572059154510498,0.5721631646156311,0.5722783207893372,33,490619,,,
,,,33,490619,0.5723679065704346,0.5724419951438904,0.572331964969635
0.5723116993904114,0.5721780061721802,0.5723439455032349,34,505049,,,
,,,34,505049,0.5722635984420776,0.5722141861915588,0.5723572969436646
0.5721334218978882,0.5719848871231079,0.5721464157104492,35,519479,,,
,,,35,519479,0.5723080039024353,0.5723828077316284,0.5723405480384827
0.5725640058517456,0.5723116993904114,0.5724910497665405,36,533909,,,
,,,36,533909,0.5723227262496948,0.5723035335540771,0.5722914934158325
0.572430431842804,0.5724156498908997,0.5724188089370728,37,548339,,,
,,,37,548339,0.5722689032554626,0.572363018989563,0.5723462700843811
0.5724897980690002,0.572430431842804,0.572445273399353,38,562769,,,
,,,38,562769,0.5723475217819214,0.5723136067390442,0.5723090171813965
0.5720590949058533,0.572059154510498,0.5720170736312866,39,577199,,,
,,,39,577199,0.5722835063934326,0.5724373459815979,0.5723471641540527
